file_name,activities,exp_act,services,exp_serv,receivers,exp_rec,providers,exp_prov
com.porn.blocker.purity.browser.apk,34,4,15,3,17,8,4,0
com.outcoder.browser.apk,20,0,0,0,0,0,1,0
com.msw.pornblocker.apk,13,0,12,3,12,2,2,0
to.freedom.android2.apk,16,0,17,9,6,4,4,0
com.hsv.powerbrowser.apk,90,17,82,8,38,13,5,1
com.vivaldi.browser.apk,60,15,72,6,25,5,3,1
com.symantec.securewifi.apk,17,1,18,4,19,5,6,0
com.m24apps.appblocker.apk,55,1,19,3,13,6,7,0
com.ume.browser.international.apk,60,11,21,4,24,7,11,0
com.transsion.phoenix.apk,33,19,23,7,17,9,10,1
com.adblock.App.apk,4,0,3,0,1,1,2,1
org.blpomda.alarm.apk,13,4,12,2,13,11,4,0
acr.browser.barebones.apk,4,3,0,0,0,0,1,0
com.droid.netflixIMDB.apk,3,0,6,1,4,2,2,0
com.adblocker.ashazapps.apk,4,0,3,0,1,1,2,1
com.sibimobilelab.amazebrowser.apk,13,3,6,0,1,0,0,0
com.mario.app.protection.apk,8,0,9,1,5,3,2,0
net.bluehack.blu.apk,15,4,9,3,4,3,4,0
com.indian.browser.fast.web.browsing.free.apk,9,2,2,0,2,1,1,1
com.protectstar.firewall.apk,17,0,8,1,5,3,2,0
care4u.browsecare.apk,13,1,9,1,9,1,5,0
com.uc.browser1.apk,12,7,7,0,4,3,1,0
com.adguard.vpn.apk,14,3,8,5,9,2,3,0
com.dolphin.browser.android.jp.apk,87,11,15,2,19,10,7,1
com.hamatim.adwarehunter.apk,1,0,6,1,2,0,1,0
com.maximebertheau.uninstaller.apk,2,0,3,0,3,2,3,0
com.india.ucbrowser.apk,4,0,0,0,0,0,3,1
fishpowered.best.browser.apk,11,0,5,0,3,2,2,0
com.vpngalaxy.app.apk,12,1,17,3,9,7,3,1
live.teekamsuthar.mutify.apk,4,0,2,1,2,1,0,0
com.joettaapps.adblocker.apk,22,1,18,4,9,7,2,0
com.yandex.browser.alpha.apk,132,22,98,10,58,25,33,10
com.avira.android.apk,106,14,46,14,32,14,7,1
net.upx.proxy.browser.apk,49,14,77,7,32,6,5,1
com.haasinc.falKonpp.apk,7,1,2,0,0,0,0,0
com.wavesnet.www.mybrowser1.apk,1,0,0,0,0,0,0,0
org.adblockplus.browser.apk,53,14,78,6,29,6,4,1
com.rucksack.adblock.apk,29,4,16,2,17,12,7,0
ru.sputnik.browser.apk,4,1,13,2,6,5,3,0
io.funswitch.blocker.apk,105,3,26,5,24,11,11,0
com.airdatatech.optima.apk,100,32,190,5,19,8,4,2
ai.blokee.browser.android.apk,16,3,24,3,12,2,9,0
com.sahani2020.blaze.apk,8,3,2,0,1,1,2,0
com.blackbrowser.newsoft.blackbrowser.apk,4,0,4,1,5,4,3,0
com.spear_adblocker.apk,6,0,7,2,2,0,3,1
bg.alexxx.playtubeapp.apk,3,0,10,2,10,0,4,0
com.cake.browser.apk,47,23,13,1,11,5,5,0
com.alfeugds.adskipper.apk,1,0,1,1,0,0,0,0
com.brave.browser.apk,61,0,80,0,31,0,5,0
com.creativetrends.simplicity.app.apk,23,3,7,2,10,3,3,0
com.ume.browser.bose.apk,28,5,17,7,25,9,11,0
org.blokada.alarm.dnschanger.apk,2,1,5,2,2,0,1,0
com.ucturbo.apk,37,8,19,4,7,4,4,0
com.alohamobile.browser.lite.apk,10,2,14,2,13,4,3,0
com.everaccountable.bulldog.apk,4,0,4,3,4,3,2,0
com.kms.free.apk,75,8,33,10,40,22,11,0
com.AugmentedWorld.NOMOREADS.apk,3,0,0,0,0,0,0,0
com.eagle.web.browser.fast.privacy.browsers.donwloads.free.apk,8,3,3,1,3,2,2,0
com.pure.mini.browser.apk,48,2,10,1,11,2,6,0
com.cloudflare.onedotonedotonedotone.apk,43,4,26,5,13,3,9,0
com.betafish.adblocksbrowser.apk,1,0,1,0,1,1,1,1
com.notic.apk,11,0,3,2,1,1,1,1
made.in.india.adfreemusic.apk,1,0,4,2,0,0,0,0
com.opera.browser.apk,36,10,89,6,21,12,11,1
com.consulenza.umbrellacare.apk,29,4,10,3,6,5,1,0
com.teqtic.lockmeout.apk,7,0,4,0,3,3,1,0
s.sdownload.adblockerultimatebrowser.apk,53,8,5,0,5,2,9,0
com.merxury.blocker.apk,3,0,2,1,7,5,2,0
org.triple.banana.apk,54,15,73,6,27,6,3,1
de.mcs.mcsbrowser.apk,9,0,0,0,0,0,0,0
com.securebrowser.private.safesearch.adblock.apk,5,3,3,0,3,2,2,0
com.kiddoware.kidsafebrowser.apk,49,6,19,1,13,7,8,2
com.stealthmobile.browser.apk,7,3,15,2,3,2,4,0
co.blocksite.apk,30,4,22,8,19,8,4,0
com.stayfocused.apk,38,5,17,5,15,6,8,0
com.shaon.pmbrowser.apk,8,0,4,1,3,2,2,0
com.antiporn.pornoblock.safebrowser.apk,4,3,0,0,0,0,1,0
com.mc.browser.apk,60,2,12,3,8,5,2,0
appinventor.ai_rockanarghya.browser.apk,1,0,0,0,0,0,2,1
com.utube.videotube.vanced.kit.apk,13,3,13,1,10,3,4,0
com.OlyFox.webbrowser.apk,7,1,1,0,2,1,1,1
com.bestnewstopadvideoonlinetips.govidestopdeguidetips.apk,23,0,6,1,9,2,4,0
com.cliqz.browser.apk,8,1,4,0,4,2,1,0
net.browsetech.adremover.android.apk,4,0,5,1,2,1,2,0
com.appybuilder.asier_oyanguren.adApp2.apk,2,0,0,0,0,0,1,0
com.imoblife.checkadd_plug_in.apk,4,1,0,0,2,2,0,0
com.oh.bro.apk,4,0,3,1,3,2,1,0
com.wTopTon_11625919.apk,32,5,28,3,14,9,3,0
com.blink.browser.apk,14,8,8,1,11,3,6,0
com.disconnect.samsungcontentblocker.apk,2,0,0,0,0,0,1,1
com.xbrowser.play.apk,2,1,0,0,0,0,2,1
com.spaceship.netprotect.apk,20,0,11,3,11,2,5,1
com.avast.android.secure.browser.apk,4,0,15,1,17,7,4,0
com.opera.browser.beta.apk,37,10,88,6,21,12,11,1
com.avg.android.secure.browser.apk,5,1,8,1,14,6,3,0
com.hsv.freeadblockerbrowser.apk,93,18,84,9,38,13,6,1
com.fast.turbobrowser.apk,14,2,2,0,0,0,3,0
org.internetcondom.adblocker.apk,2,0,4,1,4,3,2,0
com.expecode.toweb.apk,9,2,1,0,1,1,2,0
com.kawkaw.pornblocker.safebrowser.up.apk,7,3,3,0,1,1,1,0
com.duckduckgo.mobile.android.apk,23,10,6,1,10,3,3,0
com.rucksack.adblock.anti_tracking.apk,29,4,16,2,17,12,7,0
org.mozilla.focus.apk,11,2,51,1,1,1,2,0
mtc.milesthecreator.adsaway.apk,1,0,0,0,0,0,0,0
com.mini.web.browser.apk,29,3,8,0,8,5,5,0
popup.ads.detector.apk,7,0,9,1,3,1,3,0
co.easy4u.popup.ads.detector.apk,5,0,6,1,3,2,2,0
com.farestld.black_tiger_browser.apk,13,1,1,0,0,0,0,0
com.plustwo.skipads.apk,9,0,7,2,3,2,2,0
co.crystalapp.crystal.apk,1,0,1,0,1,1,1,1
com.apusapps.browser.apk,110,9,35,8,15,9,12,1
trim.altict.com.apk,8,0,2,1,3,2,1,0
com.gc.adsSkipads.apk,1,0,1,1,0,0,0,0
com.emmanuelmolefi.skipadsapp.apk,6,0,6,3,7,0,2,0
org.torproject.torbrowser_alpha.apk,16,7,67,3,13,3,4,0
org.adblockplus.browser.beta.apk,53,14,78,6,29,6,4,1
com.ume.browser.cust.apk,47,11,17,4,23,6,10,0
com.opera.mini.native.beta.apk,22,6,31,8,29,8,14,0
com.opera.mini.native.apk,22,6,31,8,29,8,14,0
org.mozilla.firefox.apk,16,7,66,3,13,3,4,0
com.tafayor.appwatch.apk,7,0,6,2,8,0,4,0
adblocker.lite.browser.apk,7,1,2,0,0,0,0,0
com.hanstudio.notifyblocker.apk,27,5,12,2,12,2,7,0
com.trendmicro.freetmms.gmobi.apk,134,5,41,9,14,7,16,0
com.trendmicro.freetmms.gmobi.apk,134,5,41,9,14,7,16,0
pure.lite.browser.apk,38,1,6,0,4,2,2,0
com.skip.video.ads.apk,6,0,1,1,0,0,1,0
fast.explorer.web.browser.apk,20,1,4,0,1,0,3,0
com.adguard.android.contentblocker.apk,8,0,3,1,10,3,2,1
com.drweb.apk,0,0,0,0,0,0,0,0
co.zew.deebrowser.apk,11,9,2,0,0,0,0,0
com.crdev.AdsStopper.apk,3,0,11,2,11,2,4,0
com.mw.applockerblocker.apk,14,0,12,4,11,2,4,0
nextapp.atlas.apk,12,0,0,0,0,0,0,0
com.ad_detector.airpushdetector.apk,10,0,1,1,1,1,0,0
com.smsBlocker.apk,100,8,29,4,50,16,8,0
id.mukti.app.adblockuiandroid.apk,1,0,0,0,0,0,0,0
com.agooday.skipads.apk,1,0,1,1,0,0,2,0
com.insher.main.apk,5,0,1,1,0,0,1,0
com.orbitum.browser.apk,44,6,15,4,14,10,4,0
com.androidbull.incognito.browser.apk,16,5,11,2,14,3,7,1
com.thmf.as.skip_ads.apk,4,0,5,1,3,2,2,0
com.comodo.cisme.antivirus.apk,56,10,31,13,34,24,7,2
reactivephone.msearch.apk,17,2,17,3,20,9,5,0
co.easy4u.ncleaner.apk,22,1,8,1,6,4,4,0
com.hsv.privatebrowser.apk,84,17,82,8,38,13,4,1
com.rotech.adblock.apk,2,0,0,0,0,0,1,0
com.appsisland.ads.shield.content.blocker.apk,9,0,0,0,1,1,1,1
com.qk.search.browser.apk,17,0,4,0,4,3,1,0
br.marcelo.monumentbrowser.apk,4,1,3,0,0,0,1,0
com.blindcut.flutter.browser.apk,4,0,7,1,3,1,2,0
com.magellanbrowser.adblocker.apk,45,6,1,0,0,0,5,0
com.lechneralexander.privatebrowser.apk,3,2,0,0,0,0,0,0
com.naver.whale.apk,111,23,127,11,33,11,5,1
com.kiwibrowser.browser.apk,100,32,190,5,19,8,4,2
com.nationaledtech.spinbrowser.apk,26,16,33,2,13,6,12,2
org.mozilla.firefox_beta.apk,16,6,66,3,13,3,4,0
com.opera.touch.apk,24,3,13,2,13,3,6,0
com.rhaon.ad_skip.apk,14,0,14,2,12,1,3,0
com.opera.oxbrowser.apk,46,6,3,0,0,0,6,1
io.friendly.apk,26,1,12,3,15,3,3,0
com.saschaha.browser.apk,4,0,0,0,0,0,0,0
app.adlocker.apk,20,3,8,2,4,4,0,0
com.blocknotification.gamemode.apk,4,0,3,1,1,0,1,0
com.Fullforce.browser.apk,12,0,1,0,0,0,0,0
adblock.browser.popup.detector.apk,7,5,3,0,3,2,3,0
com.TripleVGames.Adblocker.apk,5,0,0,0,0,0,0,0
app.no.vpn.apk,14,8,4,3,1,1,1,1
com.uc.browser.en.apk,45,21,37,8,9,4,8,0
com.camhart.pornblocker.apk,19,2,6,6,5,5,0,0
com.notification.cleaner.apk,31,1,13,5,4,3,4,0
com.keepsolid.privatebrowser.apk,15,1,15,5,8,3,7,0
com.browser.tssomas.apk,48,15,76,6,27,6,4,1
com.getfilefrom.browserdownloader.apk,21,2,18,2,11,1,5,0
com.rabbit.incognito.browser.apk,8,1,5,0,3,2,2,0
com.jimeem.fast.lite.browser.apk,10,2,2,0,0,0,0,0
com.epic.browser.apk,72,31,77,5,23,9,6,3
com.mi.globalbrowser.mini.apk,32,8,15,3,7,3,8,0
net.onecook.browser.apk,12,1,6,0,3,0,2,0
org.adblockplus.adblockplussbrowser.apk,1,0,1,0,1,1,1,1
com.nordvpn.android.apk,69,10,18,4,20,8,5,0
jp.myumyu.piggybrowser.apk,2,0,0,0,0,0,1,0
com.familyfirsttechnology.pornblocker.apk,20,2,17,5,8,6,3,0
com.adblocker.turbo.browser.apk,68,28,55,5,17,8,3,2
com.browser.yo.indian.apk,35,4,11,0,3,1,3,0
com.psafe.vpn.apk,22,1,21,4,9,3,14,0
com.cobalt.app.browser.apk,119,35,198,9,26,11,8,2
com.av1rus.adblockremover.apk,1,0,0,0,0,0,0,0
com.lostnet.fw.free.apk,14,1,3,1,5,5,0,0
com.jawaid.firebrowser.apk,10,1,9,1,3,1,4,0
com.pandora.browser.apk,84,31,77,6,21,8,4,2
cm.browser.privatewindow.download.apk,6,1,12,2,5,4,2,0
com.mobisoft.webguard.apk,15,2,14,2,8,6,1,0
com.browser.securebrowser.apk,13,5,13,1,9,5,9,0
browser4g.fast.internetwebexplorer.apk,36,5,18,6,6,2,5,0
com.eagle.web.browser.internet.privacy.browser.apk,11,1,7,2,3,2,3,0
com.nitron.mintbrowser.apk,15,1,5,2,3,2,3,0
mark.via.gp.apk,1,0,1,0,0,0,1,1
mobi.mgeek.browserfaster.apk,3,0,1,1,0,0,0,0
com.blocker.adblockxprotector.apk,9,0,1,0,1,1,1,0
app.stampy.browser.apk,10,2,13,2,3,2,4,0
fast.secure.light.browser.apk,46,2,16,2,11,1,9,0
com.seven.adclear.fsb.apk,18,1,23,2,13,3,4,1
com.techproof.websiteblocker.apk,50,1,19,2,13,7,6,0
org.mobilob.google.apk,17,0,0,0,1,1,2,2
com.elrond.maiar.apk,75,0,82,0,33,0,5,0
com.kuto.browser.apk,8,0,8,2,4,2,4,0
com.noad.it.apk,29,3,6,3,6,4,5,0
com.chimbori.hermitcrab.apk,14,4,6,3,11,3,3,0
com.mx.browser.apk,274,18,12,1,4,3,22,0
krow.dev.addetector.apk,1,0,0,0,0,0,0,0
com.pt.tool.away.apk,32,0,4,1,1,1,2,0
entertainment.privatebrowser.vnstore.apk,2,0,4,1,7,0,2,0
pcr.browser.polarity.apk,4,3,0,0,0,0,0,0
com.oorweb.uc.Activity.apk,42,1,4,0,1,1,0,0
com.cookiegames.smartcookie.apk,7,3,0,0,0,0,2,0
com.lookout.apk,76,7,34,4,30,14,2,0
co.madseven.browser.apk,73,32,81,6,24,9,6,2
matt.playtube.videotube.vancedtube.apk,17,3,17,1,10,1,6,0
com.prism.download.adblock.privacy.flash.player.incognito.private_browser.browser.apk,18,23,4,1,5,3,5,1
com.coccoc.trinhduyet.apk,71,0,92,0,32,0,10,0
org.malwarebytes.antimalware.apk,40,4,21,3,22,8,6,0
com.blocking.sites.apk,30,4,19,8,13,4,5,0
com.mebrowser.webapp.apk,12,3,6,2,5,3,1,0
com.mosoft.godzilla.apk,46,6,3,0,0,0,6,1
com.atominvention.atombrowser.apk,10,0,0,0,0,0,2,0
com.appspot.swisscodemonkeys.detector.apk,12,1,6,2,10,3,1,0
com.dolphin.browser.engine.apk,2,1,1,1,0,0,0,0
cz.mobilesoft.appblock.apk,35,2,30,11,19,11,7,0
com.tenta.android.apk,5,1,8,1,14,6,3,0
dnsfilter.android.apk,1,0,1,1,1,1,0,0
com.gobest.goclean.apk,32,0,4,0,4,4,1,0
com.segfaultstudios.suckmyads.apk,2,0,2,1,4,2,1,0
mobi.mgeek.TunnyBrowser.apk,68,9,11,1,15,7,9,1
com.rocketshipapps.adblockfast.apk,2,0,3,0,2,2,1,1
com.osiris.browser.apk,71,31,75,5,20,8,4,2
com.rotech.bloqueiaanuncios.apk,2,0,0,0,0,0,1,0
com.thefrenchsoftware.radiomusicbox.apk,10,0,2,0,3,2,3,0
adsblocker.adsskiper.adsblockerbrowser.cuckoo.apk,18,3,23,4,10,6,1,0
com.skipads.skipyoutubeadsandcommercials.apk,13,0,11,3,9,0,3,0
com.udicorn.proxybrowser.unblockwebsites.apk,21,5,17,4,11,2,7,0
com.eset.ems2.gp.apk,18,5,15,7,12,3,4,0
com.khashayar.netshield.browsers.apk,12,2,8,1,3,1,3,0
com.UCMobile.intl.apk,64,27,67,16,32,13,15,1
