file_name,activity_perc,service_perc,receiver_perc,provider_per
work.ionut.browser.apk,0.0,0.0,75.0,0.0
adblock.browser.lightning.apk,11.76,50.0,50.0,0.0
com.outcoder.browser.apk,0.0,50.0,50.0,0.0
com.hsv.powerbrowser.apk,35.16,14.1,56.52,50.0
leo_r_com.internet_lock.apk,14.29,0.0,100.0,50.0
com.symantec.securewifi.apk,9.09,31.25,66.67,0.0
com.browsers.pegasus.apk,50.0,57.14,66.67,0.0
browser.blockpornbrowser.adblocker.apk,7.69,40.0,75.0,0.0
just.browser.apk,0.0,100.0,0.0,0.0
com.HalfAppit.techblocker.apk,0.0,0.0,100.0,0.0
uk.co.mangofish.zest.apk,60.0,25.0,66.67,0.0
kr.co.lylstudio.unicorn.apk,5.0,50.0,91.67,33.33
com.ume.browser.international.apk,11.54,36.36,66.67,0.0
com.transsion.phoenix.apk,10.2,42.11,75.0,0.0
acr.browser.barebones.apk,75.0,42.11,75.0,0.0
com.sibimobilelab.amazebrowser.apk,23.08,0.0,0.0,0.0
com.gam.antipornoblockerbrowser.apk,50.0,0.0,100.0,0.0
net.bluehack.blu.apk,26.67,33.33,75.0,0.0
com.NewSpeedXBrowser2019SuperFastAdBlocker_9197.apk,13.33,9.09,72.73,0.0
com.indian.browser.fast.web.browsing.free.apk,22.22,0.0,50.0,100.0
tr.abak.simsekTarayici.apk,0.0,50.0,66.67,0.0
org.dotcode.datablocker.apk,22.22,100.0,66.67,0.0
com.dmkho.mbm.apk,0.0,100.0,66.67,0.0
com.dolphin.browser.android.jp.apk,12.79,15.38,52.63,14.29
com.kidoz.apk,20.0,33.33,85.71,0.0
com.ghostery.android.ghostery.apk,55.56,3.23,46.15,0.0
com.joettaapps.adblocker.apk,0.0,40.0,100.0,0.0
com.yandex.browser.alpha.apk,21.62,13.89,60.98,53.33
com.cmcm.freevpn.apk,21.88,46.15,54.55,0.0
com.avira.android.apk,5.97,35.0,58.33,12.5
net.upx.proxy.browser.apk,14.47,6.41,30.43,33.33
com.haasinc.falKonpp.apk,14.29,0.0,30.43,33.33
org.adblockplus.browser.apk,61.54,0.0,46.67,0.0
ads.blocker.browser.apk,28.57,100.0,100.0,0.0
com.baidu.browser.inter.apk,3.7,9.09,87.5,50.0
com.blackbrowser.newsoft.blackbrowser.apk,0.0,25.0,80.0,0.0
com.kwah.privatebrowser.apk,21.62,12.5,77.78,33.33
com.fastbrowser.videodownload.privatebrowser.apk,31.25,26.67,71.43,0.0
com.cake.browser.apk,2.78,14.29,66.67,0.0
com.glennio.premium.apk,50.0,100.0,66.67,0.0
com.brave.browser.apk,0.0,0.0,0.0,0.0
com.creativetrends.simplicity.app.apk,18.75,0.0,0.0,0.0
com.ume.browser.bose.apk,11.54,36.36,66.67,0.0
org.blokada.alarm.dnschanger.apk,0.0,28.57,75.0,0.0
com.ucturbo.apk,12.2,0.0,50.0,0.0
com.alohamobile.browser.lite.apk,12.5,0.0,66.67,0.0
com.kms.free.apk,11.11,34.62,74.29,0.0
com.wBROWSERID_8285526.apk,13.33,9.09,72.73,0.0
cc.lapstudio.dnsplus.apk,0.0,60.0,60.0,0.0
com.eagle.web.browser.fast.privacy.browsers.donwloads.free.apk,42.86,25.0,66.67,0.0
com.cloudflare.onedotonedotonedotone.apk,8.0,27.27,30.77,0.0
com.betafish.adblocksbrowser.apk,0.0,0.0,100.0,100.0
info.guardianproject.orfox.apk,30.77,5.0,41.67,0.0
com.opera.browser.apk,15.62,12.5,66.67,0.0
com.noxgroup.app.browser.apk,41.43,12.5,15.79,28.57
com.luna.vpn.apk,0.0,62.5,66.67,0.0
com.VEB_VandeEarth_Browser.apk,28.57,20.0,69.23,0.0
s.sdownload.adblockerultimatebrowser.apk,13.46,16.67,40.0,0.0
de.mcs.mcsbrowser.apk,0.0,16.67,40.0,0.0
com.kiddoware.kidsafebrowser.apk,13.33,16.67,61.54,14.29
com.antiporn.pornoblock.safebrowser.apk,42.86,50.0,50.0,0.0
com.mc.browser.apk,3.39,25.0,55.56,0.0
leo_r_com-internet_lock.apk,14.29,0.0,100.0,0.0
appinventor.ai_rockanarghya.browser.apk,0.0,0.0,100.0,0.0
com.OlyFox.webbrowser.apk,14.29,0.0,50.0,100.0
com.yandex.browser.apk,21.62,13.7,60.0,53.33
com.cliqz.browser.apk,12.5,16.67,57.14,0.0
com.oh.bro.apk,0.0,0.0,0.0,0.0
com.disconnect.samsungcontentblocker.apk,0.0,0.0,0.0,0.0
com.xbrowser.play.apk,0.0,0.0,0.0,0.0
com.opera.browser.beta.apk,15.62,11.9,65.0,0.0
com.hsv.freeadblockerbrowser.apk,35.16,12.99,56.52,50.0
com.kawkaw.pornblocker.safebrowser.up.apk,60.0,12.99,56.52,50.0
com.cloudmosa.puffin.apk,0.0,0.0,100.0,0.0
com.duckduckgo.mobile.android.apk,5.88,20.0,22.22,0.0
org.mozilla.focus.apk,18.18,11.11,100.0,0.0
com.alohamobile.browser.apk,9.52,31.25,57.14,0.0
co.crystalapp.crystal.apk,0.0,31.25,57.14,0.0
com.apusapps.browser.apk,8.75,30.0,56.25,16.67
trim.altict.com.apk,0.0,50.0,66.67,0.0
org.torproject.torbrowser_alpha.apk,71.43,5.88,42.86,0.0
com.opera.mini.native.beta.apk,26.67,48.15,40.0,7.69
com.opera.mini.native.apk,26.67,48.15,40.0,7.69
org.mozilla.firefox.apk,57.69,5.0,42.86,0.0
adblocker.lite.browser.apk,14.29,0.0,42.86,0.0
com.trendmicro.freetmms.gmobi.apk,3.62,26.32,57.14,0.0
com.ecosia.android.apk,41.33,9.09,42.11,50.0
pure.lite.browser.apk,3.7,0.0,100.0,0.0
com.z28j.feel.apk,0.0,0.0,100.0,0.0
fast.explorer.web.browser.apk,10.53,12.5,50.0,0.0
com.adguard.android.contentblocker.apk,0.0,100.0,100.0,100.0
com.ultronmedia.browser.apk,83.33,100.0,100.0,100.0
com.secore.privacyshield.apk,0.0,100.0,100.0,100.0
com.internetexplorer.browser.web.apk,11.76,50.0,50.0,0.0
com.drweb.apk,11.76,50.0,50.0,0.0
co.zew.deebrowser.apk,81.82,0.0,50.0,0.0
com.gikix.browser.apk,43.84,7.32,37.5,33.33
nextapp.atlas.apk,0.0,7.32,37.5,33.33
com.ksmobile.cb.apk,18.52,33.33,75.0,14.29
web.browser.navigateur.apk,41.67,60.0,71.43,0.0
com.mebrowsermini.webapp.apk,11.76,55.56,50.0,0.0
com.google.android.apps.freighter.apk,11.76,19.23,54.55,0.0
com.dolphin.browser.zero.apk,0.0,19.23,54.55,0.0
com.orbitum.browser.apk,13.16,53.85,86.67,25.0
com.androidbull.incognito.browser.apk,15.38,25.0,40.0,0.0
com.comodo.cisme.antivirus.apk,23.26,34.38,68.57,25.0
reactivephone.msearch.apk,21.43,27.27,81.82,0.0
com.quark.browser.apk,38.46,0.0,50.0,0.0
com.hsv.privatebrowser.apk,35.16,14.1,56.52,50.0
com.appsisland.ads.shield.content.blocker.apk,0.0,14.1,56.52,50.0
com.qk.search.browser.apk,0.0,0.0,75.0,0.0
br.marcelo.monumentbrowser.apk,25.0,0.0,75.0,0.0
fast.download.privacy.internet.explorer.im.apk,6.67,40.0,75.0,0.0
com.magellanbrowser.adblocker.apk,13.33,0.0,75.0,0.0
com.lechneralexander.privatebrowser.apk,66.67,0.0,75.0,0.0
com.hotspotvpn.android.apk,17.65,43.75,33.33,0.0
com.kiwibrowser.browser.apk,45.71,9.43,38.89,50.0
com.nationaledtech.spinbrowser.apk,60.0,5.88,46.15,10.0
org.mozilla.firefox_beta.apk,59.26,5.0,46.67,0.0
com.opera.touch.apk,17.65,28.57,60.0,0.0
com.microsoft.emmx.apk,14.62,15.29,52.78,33.33
io.friendly.apk,4.55,33.33,21.43,0.0
com.saschaha.browser.apk,0.0,33.33,21.43,0.0
adblock.browser.no.ads.apk,34.48,44.44,70.0,0.0
com.Fullforce.browser.apk,10.0,0.0,70.0,0.0
com.trendmicro.tmmspersonal.apk,3.53,20.0,48.0,7.69
com.uc.browser.en.apk,58.97,21.88,55.56,0.0
com.keepsolid.privatebrowser.apk,10.0,31.25,42.86,0.0
com.browser.tssomas.apk,14.1,6.33,34.62,33.33
com.ehawk.antivirus.applock.wifi.apk,13.79,61.9,84.85,15.0
com.getfilefrom.browserdownloader.apk,12.5,16.67,75.0,0.0
com.rabbit.incognito.browser.apk,9.09,0.0,0.0,0.0
com.jimeem.fast.lite.browser.apk,20.0,0.0,0.0,0.0
com.mi.globalbrowser.mini.apk,38.89,22.22,50.0,12.5
net.onecook.browser.apk,0.0,50.0,40.0,0.0
org.adblockplus.adblockplussbrowser.apk,0.0,0.0,100.0,100.0
com.nordvpn.android.apk,17.95,36.84,44.44,0.0
jp.myumyu.piggybrowser.apk,0.0,36.84,44.44,0.0
com.ume.browser.oemtn.apk,20.0,44.44,75.0,0.0
com.adblocker.turbo.browser.apk,41.18,9.09,47.06,66.67
com.browser.yo.indian.apk,11.43,40.0,50.0,0.0
com.psafe.vpn.apk,1.96,31.03,41.67,0.0
com.lostnet.fw.free.apk,7.14,33.33,100.0,0.0
com.mobisoft.webguard.apk,14.29,25.0,100.0,0.0
com.browser.securebrowser.apk,38.46,7.69,55.56,0.0
browser4g.fast.internetwebexplorer.apk,38.46,37.5,83.33,0.0
com.eagle.web.browser.internet.privacy.browser.apk,9.09,28.57,66.67,0.0
com.modi.indianbrowser.makeinindia.apk,10.0,0.0,66.67,0.0
com.fulldive.mobile.apk,8.33,31.25,57.14,0.0
com.nitron.mintbrowser.apk,6.67,40.0,66.67,0.0
mark.via.gp.apk,0.0,40.0,66.67,0.0
com.cosmic.webbrowser.apk,0.0,40.0,66.67,0.0
mobi.mgeek.browserfaster.apk,0.0,100.0,66.67,0.0
com.wEnergy_8014098.apk,13.33,9.09,72.73,0.0
app.stampy.browser.apk,22.22,11.11,72.73,0.0
com.sec.android.app.sbrowser.beta.apk,40.38,7.41,45.0,47.83
com.github.xfalcon.vhosts.apk,0.0,100.0,100.0,47.83
fast.secure.light.browser.apk,4.76,57.14,66.67,0.0
com.wFroggiBrowser_7729895.apk,12.9,11.11,72.73,0.0
com.seven.adclear.fsb.apk,0.0,0.0,100.0,50.0
org.mobilob.google.apk,0.0,0.0,100.0,50.0
net.rocket.browser.apk,75.0,0.0,100.0,50.0
com.chimbori.hermitcrab.apk,50.0,57.14,60.0,0.0
com.mx.browser.apk,5.52,20.0,80.0,0.0
com.wsandroid.suite.apk,3.14,18.87,32.31,0.0
pcr.browser.polarity.apk,75.0,18.87,32.31,0.0
com.oorweb.uc.Activity.apk,2.38,0.0,100.0,0.0
com.hawk.android.browser.apk,35.56,42.86,92.86,42.86
com.lookout.apk,11.59,21.43,65.22,0.0
co.madseven.browser.apk,43.84,7.41,37.5,33.33
com.prism.download.adblock.privacy.flash.player.incognito.private_browser.browser.apk,75.0,7.41,37.5,33.33
com.wavesnet.www.mybrowsernew.apk,0.0,7.41,37.5,33.33
com.coccoc.trinhduyet.apk,0.0,0.0,0.0,0.0
org.malwarebytes.antimalware.apk,13.89,25.0,47.62,0.0
com.mebrowser.webapp.apk,25.0,33.33,60.0,0.0
com.cosmic.privacybrowser.apk,75.0,33.33,60.0,0.0
com.funn24time.fanbrowser.apk,10.0,0.0,60.0,0.0
com.dolphin.browser.engine.apk,50.0,100.0,60.0,0.0
com.tenta.android.apk,14.29,20.0,80.0,0.0
com.sec.android.app.sbrowser.apk,40.38,7.41,42.5,47.83
com.omigo.app.apk,2.44,18.18,40.0,0.0
mobi.mgeek.TunnyBrowser.apk,14.71,13.33,47.37,12.5
com.rocketshipapps.adblockfast.apk,0.0,0.0,100.0,100.0
com.bravo.rebbitbrowser.apk,12.5,28.57,66.67,0.0
com.udicorn.proxybrowser.unblockwebsites.apk,30.0,57.14,66.67,0.0
com.eset.ems2.gp.apk,21.43,60.0,80.0,0.0
com.wTricera_7848804.apk,12.9,11.11,72.73,0.0
com.evda.connecttor.apk,12.5,40.0,75.0,0.0
com.insafedev.browser.apk,12.04,31.43,62.5,18.18
com.omigo.browser.apk,2.78,42.86,66.67,0.0
com.UCMobile.intl.apk,48.15,25.53,57.89,9.09
